# Nelson+ (2020) http://arxiv.org/abs/xxxx.xxxxx
# Figure 5 Right Panel N_MgII [log cm^-2] (TNG50-1 z=0.5)
# Halo Mass Bin [12.4 - 12.6]
# rad_logpkpc N_total N_total_err0 N_total_err1 N_self N_self_err0 N_self_err1 N_other N_other_err0 N_other_err1
  0.8886  17.0654  16.1062  17.4093 17.0654  16.1062  17.4093  6.3371   4.1157  10.2467
  0.9240  17.0071  16.0661  17.3421 17.0071  16.0661  17.3421  6.4639   4.1817  10.8251
  0.9594  16.9350  16.0129  17.3011 16.9350  16.0129  17.3011  6.5085   4.2283  11.2177
  0.9947  16.8616  15.9698  17.2535 16.8616  15.9697  17.2535  6.4908   4.3904  11.5288
  1.0301  16.7902  15.9137  17.1621 16.7902  15.9137  17.1621  6.3469   4.3386  11.0112
  1.0654  16.7285  15.8567  17.0473 16.7285  15.8567  17.0473  6.1652   4.4033  10.8286
  1.1008  16.6409  15.8158  16.9360 16.6409  15.8158  16.9360  6.3823   4.6302  11.1026
  1.1361  16.5457  15.7955  16.8802 16.5457  15.7955  16.8801  7.0493   4.8430  11.6373
  1.1715  16.3982  15.7734  16.8269 16.3982  15.7734  16.8269  7.8514   4.7591  11.4614
  1.2068  16.2753  15.6679  16.7834 16.2753  15.6679  16.7834  7.7789   4.8120  11.2835
  1.2422  16.1597  15.5001  16.7329 16.1597  15.5001  16.7329  7.1647   4.9190  11.3431
  1.2775  16.0907  15.2923  16.6796 16.0907  15.2923  16.6796  7.1385   5.0736  11.5357
  1.3129  15.9701  15.1183  16.5793 15.9701  15.1183  16.5793  7.9168   5.1538  11.5496
  1.3482  15.8538  15.0171  16.4299 15.8538  15.0171  16.4299  8.3077   5.3404  11.4267
  1.3836  15.7909  14.8410  16.3140 15.7909  14.8410  16.3140  7.8396   5.5735  11.3243
  1.4189  15.7703  14.5396  16.2507 15.7703  14.5395  16.2507  7.6758   5.6558  11.2106
  1.4543  15.6862  14.2648  16.2106 15.6862  14.2648  16.2106  8.4122   5.7560  11.3341
  1.4897  15.4713  14.2331  16.1141 15.4713  14.2330  16.1141  9.2847   6.0424  11.5498
  1.5250  15.2104  14.2974  15.9623 15.2104  14.2974  15.9623  9.8614   6.2087  11.6606
  1.5604  15.0190  14.3023  15.7441 15.0189  14.3025  15.7440  9.8932   6.3183  11.6565
  1.5957  14.9933  14.1879  15.5737 14.9932  14.1866  15.5737  9.7726   6.5280  11.8138
  1.6311  14.9531  14.1883  15.4739 14.9530  14.1865  15.4738  9.6326   6.7745  11.8459
  1.6664  14.9152  14.2359  15.4714 14.9152  14.2347  15.4728  9.8359   6.7257  11.8462
  1.7018  14.8038  14.1852  15.3992 14.8040  14.1853  15.3933 10.0242   6.4610  11.8778
  1.7371  14.6894  13.9762  15.2884 14.6889  13.9761  15.2801 10.4175   6.3898  11.9464
  1.7725  14.5458  13.7805  15.1428 14.5444  13.7802  15.1369 10.8411   7.1206  12.0579
  1.8078  14.4632  13.5823  15.1150 14.4607  13.5819  15.1164 11.0064   8.1908  12.0841
  1.8432  14.4081  13.5029  15.1136 14.4065  13.5025  15.1151 10.8370   8.4147  12.1009
  1.8785  14.3492  13.4702  15.1290 14.3480  13.4706  15.1287 10.8564   8.2742  12.0308
  1.9139  14.2618  13.5030  15.0107 14.2578  13.5021  14.9784 11.0088   8.5077  12.0843
  1.9493  14.1559  13.4287  14.9896 14.1506  13.4247  14.9500 11.1509   9.3718  12.0339
  1.9846  14.0884  13.3667  14.9934 14.0842  13.3547  14.9713 11.2325   9.5488  12.1237
  2.0200  14.0690  13.2888  14.8270 14.0638  13.2755  14.8328 11.3176   9.9134  12.3196
  2.0553  13.9821  13.2153  14.5180 13.9770  13.2095  14.5179 11.1794   9.8869  12.2788
  2.0907  13.8545  12.9616  14.3688 13.8473  12.9464  14.3712 11.1057  10.2231  12.0611
  2.1260  13.7024  12.6706  14.3803 13.6908  12.6375  14.3701 11.2260  10.2551  12.1009
  2.1614  13.5537  12.6026  14.2243 13.5411  12.5799  14.2089 11.4362  10.5849  12.3189
  2.1967  13.4068  12.5567  14.0089 13.4030  12.4856  13.9963 11.4700  10.6403  12.3095
  2.2321  13.2733  12.3079  13.9806 13.2315  12.2312  13.9856 11.5402  10.7993  12.2302
  2.2674  13.0715  12.1411  13.9952 12.9194  11.9928  13.9575 11.6564  10.9409  12.3830
  2.3028  12.8160  12.1460  13.7917 12.5783  11.8067  13.7322 11.7758  10.9732  12.4753
  2.3381  12.7161  11.9372  13.3955 12.4131  11.2558  13.3196 11.7505  10.6358  12.4636
  2.3735  12.4599  11.4719  13.2062 12.0943  10.5227  13.0165 11.5472  10.4443  12.3207
  2.4088  12.3145  11.2669  13.1057 11.8811  10.0475  12.8555 11.3984  10.5381  12.2063
  2.4442  12.3286  11.3518  13.0217 11.8097   9.7702  12.8902 11.4178  10.6633  12.3647
  2.4796  12.4330  11.3092  13.1654 11.3634   8.7518  12.6757 11.4649  10.4848  12.6810
  2.5149  12.3042  11.1477  13.6720 10.1928   6.6321  12.4341 11.3456  10.5072  13.0201
  2.5503  12.2787  10.7018  13.8277  9.9607   4.4390  12.3663 11.4657  10.3457  12.8883
  2.5856  12.2472  10.6076  13.6370  9.4376   3.3346  12.4901 11.6339  10.3240  12.9171
  2.6210  12.3168  10.6625  13.5083  9.6134   1.4505  12.6026 11.9258  10.3806  13.1687
  2.6563  12.3939  11.0692  13.4302 10.3836   2.2045  13.0528 12.0847  10.8604  13.2739
  2.6917  12.1169  10.5129  13.2753 11.9476   5.8404  13.2675 11.9837  10.4847  13.1384
  2.7270  11.6659  10.1573  13.1789 11.2139   8.7589  12.5990 11.5586  10.0035  13.1113
  2.7624  11.6466   9.9969  13.7664 10.8121   9.3521  12.5602 11.5127   9.8597  13.7861
  2.7977  11.9386  10.5931  14.0223 11.1502  10.2211  12.5655 11.7375  10.4700  14.0223
  2.8331  12.2460  11.0136  13.8736 10.2410   9.9331  12.4133 12.1120  11.0195  13.8895
  2.8684  12.2728  10.7173  13.6529 10.9219  10.5968  12.9019 12.1689  10.7021  13.5895
  2.9038  12.5009  10.7409  13.7822 12.6047  12.4694  13.8508 12.4566  10.7445  13.6924
  2.9392  12.6031  11.1122  13.7780 14.2143  14.3045  13.3835 12.5918  11.1098  13.7146
  2.9745  12.4803  11.4102  13.3869 10.1264  10.1039  10.3341 12.4831  11.4075  13.4027
