# Nelson+ (2020) http://arxiv.org/abs/xxxx.xxxxx
# Figure 5 Right Panel N_MgII [log cm^-2] (TNG50-1 z=0.5)
# Halo Mass Bin [11.4 - 11.6]
# rad_logpkpc N_total N_total_err0 N_total_err1 N_self N_self_err0 N_self_err1 N_other N_other_err0 N_other_err1
  0.8533  16.2744  15.5562  16.6763 16.2744  15.5562  16.6765  7.9879   6.5039  10.4358
  0.8886  16.1812  15.4538  16.6010 16.1812  15.4538  16.6011  8.0745   6.5600  10.6285
  0.9240  16.0842  15.3787  16.5064 16.0842  15.3787  16.5064  8.1629   6.5905  10.7059
  0.9594  15.9772  15.2975  16.4133 15.9772  15.2975  16.4124  8.2225   6.5742  10.8195
  0.9947  15.8579  15.2122  16.3161 15.8579  15.2121  16.3150  8.3499   6.6088  10.8077
  1.0301  15.7140  15.1292  16.2235 15.7140  15.1292  16.2228  8.4242   6.6530  10.7301
  1.0654  15.5831  15.0443  16.1345 15.5831  15.0443  16.1347  8.5294   6.7131  10.7011
  1.1008  15.4610  14.9279  16.0274 15.4610  14.9279  16.0274  8.5774   6.8119  10.7778
  1.1361  15.3344  14.8141  15.9026 15.3344  14.8141  15.9031  8.7908   6.9529  10.9254
  1.1715  15.2078  14.6996  15.7566 15.2078  14.6996  15.7558  8.8465   6.9723  10.9742
  1.2068  15.1042  14.5992  15.6183 15.1040  14.5998  15.6124  9.0080   7.0898  11.0129
  1.2422  14.9858  14.4818  15.4748 14.9857  14.4792  15.4678  9.0913   7.1746  11.0297
  1.2775  14.8457  14.3492  15.3421 14.8453  14.3454  15.3360  9.2254   7.3150  11.0168
  1.3129  14.6996  14.2061  15.1935 14.6992  14.2034  15.1874  9.2504   7.3025  11.0393
  1.3482  14.5716  14.0664  15.0365 14.5715  14.0670  15.0270  9.3714   7.4021  11.0841
  1.3836  14.4317  13.9292  14.8735 14.4314  13.9291  14.8665  9.4396   7.5240  11.1044
  1.4189  14.2618  13.7755  14.6962 14.2570  13.7775  14.6953  9.4595   7.6426  11.1145
  1.4543  14.0801  13.6108  14.5354 14.0751  13.6022  14.5230  9.5262   7.7270  11.1890
  1.4897  13.8795  13.4270  14.3870 13.8733  13.4122  14.3655  9.6809   7.8518  11.2031
  1.5250  13.6855  13.2355  14.2550 13.6782  13.2182  14.2253  9.8260   8.0705  11.2013
  1.5604  13.4883  13.0131  14.0801 13.4714  13.0064  14.0464  9.9276   8.1860  11.2792
  1.5957  13.3342  12.8260  13.8954 13.3084  12.8109  13.8423  9.9504   8.3565  11.4374
  1.6311  13.1394  12.6177  13.6947 13.1099  12.6021  13.6317 10.0363   8.4946  11.5053
  1.6664  12.9449  12.3745  13.5551 12.9173  12.3516  13.4448 10.1096   8.7384  11.5102
  1.7018  12.7359  12.1259  13.3964 12.7121  12.1116  13.2801 10.2150   8.9594  11.5553
  1.7371  12.5673  11.9683  13.2340 12.5356  11.9381  13.1194 10.2474   9.1746  11.5018
  1.7725  12.3672  11.7774  13.0804 12.3287  11.7130  12.9857 10.3476   9.3564  11.4959
  1.8078  12.1443  11.4974  12.9797 12.0962  11.4049  12.8258 10.4597   9.5434  11.4994
  1.8432  11.9245  11.1727  12.8632 11.8566  11.0417  12.6646 10.5849   9.6832  11.5942
  1.8785  11.7454  10.9243  12.6766 11.6149  10.7436  12.4202 10.6131   9.7366  11.6191
  1.9139  11.5932  10.7228  12.5031 11.3739  10.4678  12.2014 10.6511   9.7999  11.7203
  1.9493  11.4466  10.5184  12.5378 11.0466  10.1176  12.0227 10.6804   9.8198  11.8433
  1.9846  11.3058  10.2748  12.6341 10.6845   9.6086  11.8891 10.7043   9.8163  11.8573
  2.0200  11.1509  10.0019  12.5861 10.2393   9.0753  11.7185 10.6467   9.6874  11.8281
  2.0553  10.9711   9.7529  12.5443  9.7110   8.1916  11.4397 10.5684   9.4827  11.9855
  2.0907  10.8566   9.5054  12.5082  9.0682   6.9292  11.1196 10.5036   9.3097  12.1629
  2.1260  10.7300   9.3394  12.5656  8.3833   5.5960  10.8493 10.3822   9.2405  12.2483
  2.1614  10.6239   9.1407  12.5998  7.5811   4.4607  10.8115 10.2634   9.0823  12.1742
  2.1967  10.5534   8.9297  12.7378  6.6244   3.3149  10.9252 10.1643   8.8277  12.1709
  2.2321  10.4984   8.6281  12.7361  5.7849   2.4257  10.9531 10.1471   8.5230  12.2612
  2.2674  10.4734   8.5034  12.8309  5.0423   2.1226  10.8801 10.1918   8.3929  12.5763
  2.3028  10.5528   8.3380  12.8619  4.7428   2.0683  10.8851 10.3989   8.2595  12.7156
  2.3381  10.6632   8.3841  12.8908  5.2222   1.3797  10.7213 10.5392   8.2368  12.6829
  2.3735  10.5611   8.4278  12.7628  5.6654   1.0453  10.6397 10.4691   8.2600  12.5860
  2.4088  10.5180   8.3582  12.7571  6.7614   1.6529  10.4445 10.4500   8.2082  12.7049
  2.4442  10.6399   8.1538  12.9225  7.2103   3.2341  10.5226 10.6166   8.1143  12.9218
  2.4796  10.9588   8.0072  13.0709  5.8351   2.9443  10.2403 10.9493   7.9773  13.0459
  2.5149  11.0851   8.1598  13.0387  4.9917   0.8005  11.3005 11.0729   8.1554  13.0166
  2.5503  11.0796   8.0522  12.9803  7.5537   3.1231  11.9459 11.0534   8.0481  12.9798
  2.5856  11.0614   7.9919  13.2642 10.9428   8.2310  12.2185 11.0431   7.9932  13.2606
  2.6210  11.2488   7.9061  13.4083 10.0602  10.2858   9.8277 11.2402   7.9061  13.4092
  2.6563  11.2985   8.3352  13.3280     nan      nan      nan 11.3010   8.3352  13.3280
  2.6917  11.4392   8.7443  13.2045     nan      nan      nan 11.4392   8.7443  13.2045
  2.7270  11.7193   9.1993  13.2484     nan      nan      nan 11.7193   9.1993  13.2484
  2.7624  12.0044   9.5548  13.4308     nan      nan      nan 12.0044   9.5548  13.4308
  2.7977  12.0905   9.7632  13.6485     nan      nan      nan 12.0905   9.7632  13.6485
  2.8331  12.1250   9.8418  13.8248     nan      nan      nan 12.1250   9.8418  13.8248
  2.8684  12.0915   9.9192  13.6494     nan      nan      nan 12.0915   9.9192  13.6494
  2.9038  12.0267  10.2790  13.5011     nan      nan      nan 12.0267  10.2790  13.5011
  2.9392  12.0552  10.5273  13.4847     nan      nan      nan 12.0552  10.5273  13.4847
  2.9745  12.0949  10.2878  13.4750     nan      nan      nan 12.0949  10.2878  13.4750
