# Nelson+ (2020) http://arxiv.org/abs/xxxx.xxxxx
# Figure 5 Right Panel N_MgII [log cm^-2] (TNG50-1 z=0.5)
# Halo Mass Bin [11.9 - 12.1]
# rad_logpkpc N_total N_total_err0 N_total_err1 N_self N_self_err0 N_self_err1 N_other N_other_err0 N_other_err1
  0.6412  17.2595  16.6516  17.5092 17.2595  16.6516  17.5092  7.6683   6.2248  10.3083
  0.6765  17.2331  16.6487  17.4545 17.2331  16.6487  17.4545  7.7788   6.2963  10.3987
  0.7119  17.2005  16.6201  17.3977 17.2005  16.6201  17.3977  7.7859   6.1897  10.3748
  0.7472  17.1363  16.4699  17.3537 17.1363  16.4699  17.3537  7.8750   6.2902  10.5696
  0.7826  17.0461  16.2629  17.3181 17.0461  16.2629  17.3181  7.9358   6.1656  10.8611
  0.8179  16.9651  16.0931  17.2869 16.9651  16.0931  17.2869  8.0404   6.3629  10.9363
  0.8533  16.8815  15.9820  17.2299 16.8815  15.9820  17.2299  8.1401   6.4127  11.0303
  0.8886  16.7750  15.9049  17.1511 16.7750  15.9049  17.1511  8.1071   6.4941  11.0078
  0.9240  16.6364  15.8381  17.0631 16.6364  15.8381  17.0631  8.0848   6.5465  11.0430
  0.9594  16.5093  15.7597  16.9888 16.5093  15.7597  16.9888  8.2136   6.6122  11.0144
  0.9947  16.4016  15.6669  16.9174 16.4016  15.6669  16.9174  8.3716   6.7502  11.1767
  1.0301  16.3223  15.6231  16.8299 16.3223  15.6231  16.8299  8.4217   6.7028  11.4000
  1.0654  16.1962  15.5835  16.7322 16.1962  15.5835  16.7322  8.5289   6.6622  11.6239
  1.1008  16.0265  15.5036  16.6389 16.0265  15.5036  16.6389  8.6811   6.7364  11.7239
  1.1361  15.8543  15.3734  16.5245 15.8543  15.3734  16.5245  8.7852   6.8874  11.6816
  1.1715  15.7272  15.2495  16.3998 15.7272  15.2496  16.3998  8.9974   7.0003  11.5950
  1.2068  15.6093  15.1571  16.2832 15.6092  15.1566  16.2832  9.2032   7.0137  11.6207
  1.2422  15.4883  15.0613  16.1409 15.4882  15.0605  16.1407  9.4236   7.0298  11.7184
  1.2775  15.3715  14.9658  15.9875 15.3714  14.9653  15.9873  9.6620   7.0110  11.7709
  1.3129  15.2681  14.8587  15.7902 15.2680  14.8585  15.7901  9.9498   7.2262  11.8078
  1.3482  15.1589  14.7366  15.6422 15.1590  14.7361  15.6419 10.0468   7.4533  11.8648
  1.3836  15.0379  14.6115  15.5455 15.0376  14.6111  15.5451 10.1243   7.5333  11.8395
  1.4189  14.9047  14.4945  15.4958 14.9027  14.4948  15.4953 10.3377   7.5458  11.7906
  1.4543  14.8017  14.3486  15.3794 14.7992  14.3477  15.3794 10.4629   7.6538  11.8195
  1.4897  14.7139  14.1685  15.2348 14.7113  14.1665  15.2347 10.4699   7.9129  11.9650
  1.5250  14.6377  14.0655  15.0969 14.6359  14.0636  15.0969 10.4802   8.2586  12.0979
  1.5604  14.5527  13.9766  14.9670 14.5509  13.9773  14.9687 10.4473   8.2642  12.0393
  1.5957  14.4615  13.8801  14.8409 14.4616  13.8760  14.8344 10.3838   8.2797  11.9472
  1.6311  14.3374  13.7432  14.7132 14.3349  13.7372  14.7071 10.4769   8.3211  11.8806
  1.6664  14.1997  13.6236  14.6179 14.1948  13.6229  14.5969 10.6068   8.5427  11.9352
  1.7018  14.0551  13.4811  14.5168 14.0410  13.4702  14.4921 10.6901   8.5708  11.9635
  1.7371  13.9302  13.3812  14.4351 13.9162  13.3153  14.3777 10.7047   8.8533  12.0939
  1.7725  13.8328  13.2970  14.3268 13.8214  13.2101  14.2577 10.7702   9.0044  12.1610
  1.8078  13.7285  13.1515  14.3295 13.7077  13.0723  14.2075 10.7650   9.1975  12.1334
  1.8432  13.5944  12.8961  14.2150 13.5539  12.8585  14.1072 10.8219   9.3388  12.0654
  1.8785  13.4454  12.6813  14.0254 13.3889  12.6198  13.9147 10.9214   9.5136  12.1594
  1.9139  13.3365  12.5092  13.8563 13.2683  12.4103  13.7468 11.1464   9.6795  12.2836
  1.9493  13.2337  12.3770  13.8375 13.1263  12.2799  13.7010 11.3646   9.9989  12.3188
  1.9846  13.1525  12.1823  13.8849 12.9607  12.1272  13.7419 11.5128  10.3349  12.3479
  2.0200  13.0492  11.9980  13.8978 12.7789  11.9102  13.6812 11.5707  10.5194  12.5062
  2.0553  12.9075  11.7899  13.8647 12.6149  11.6217  13.6419 11.5768  10.4679  12.5824
  2.0907  12.6558  11.6193  13.7885 12.3867  11.2727  13.4966 11.5456  10.4510  12.5554
  2.1260  12.4634  11.4332  13.7290 12.1270  10.8051  13.3134 11.5508  10.4654  12.5568
  2.1614  12.4072  11.2714  13.6242 11.8657  10.3353  12.9908 11.6977  10.4963  12.8463
  2.1967  12.3745  10.9813  13.4702 11.5871   9.9352  12.7647 11.8542  10.3186  12.9341
  2.2321  12.2096  10.7200  13.4513 11.0909   9.0597  12.6771 11.7007  10.2168  12.9463
  2.2674  12.0050  10.3125  13.4554 10.2388   7.6932  12.3911 11.3617   9.9907  12.8130
  2.3028  11.7756  10.0372  13.3173  9.4163   6.0417  11.9329 11.1787   9.8771  12.8591
  2.3381  11.6705   9.9032  13.3491  8.7641   4.6364  11.6448 11.2817   9.7651  13.0921
  2.3735  11.7010   9.8835  13.4216  7.3581   3.5195  11.6077 11.3719   9.7534  13.2355
  2.4088  11.8897   9.9499  13.6136  5.7209   2.6628  11.5689 11.5267   9.8931  13.3267
  2.4442  12.0794   9.9441  13.6153  4.6175   2.0173  11.8320 11.7726   9.9519  13.2807
  2.4796  12.1369   9.9033  13.6834  4.1465   1.0402  12.2160 11.8413   9.9065  13.4489
  2.5149  11.9743   9.6702  13.5305  5.8215   1.5994  11.8564 11.7620   9.6642  13.4439
  2.5503  11.8815   9.3177  13.5735  7.4054   3.3143  12.2827 11.7336   9.3093  13.5365
  2.5856  12.0216   9.3010  13.6800  7.3317   3.4187  13.1722 11.9302   9.2950  13.5341
  2.6210  12.0376   9.5982  13.6384  7.2141   2.4868  13.4210 11.9551   9.5997  13.4330
  2.6563  12.0231   9.9178  13.4858  8.7901   3.6071  12.1667 12.0153   9.9178  13.3751
  2.6917  12.0759   9.8059  13.6184 11.5660   7.9186  12.6089 12.0611   9.8193  13.5853
  2.7270  11.9675   9.9596  13.7427 12.5612  11.0679  13.2022 11.8906   9.9061  13.7177
  2.7624  11.9028  10.0805  13.5380 12.3082  11.4970  12.6515 11.8242  10.0048  13.5148
  2.7977  12.1761  10.5327  13.4577     nan      nan      nan 12.1472  10.4792  13.4635
  2.8331  12.4364  10.9072  13.6483     nan      nan      nan 12.4448  10.9205  13.6483
  2.8684  12.4252  11.0918  13.8146     nan      nan      nan 12.4253  11.0918  13.8146
  2.9038  12.4541  10.7602  13.6955     nan      nan      nan 12.4541  10.7602  13.6955
  2.9392  12.5629  10.6690  13.6128     nan      nan      nan 12.5629  10.6690  13.6128
  2.9745  12.2714  10.9459  13.5786     nan      nan      nan 12.2714  10.9459  13.5786
