# Nelson+ (2020) http://arxiv.org/abs/xxxx.xxxxx
# Figure 5 Right Panel N_MgII [log cm^-2] (TNG50-1 z=0.5)
# Halo Mass Bin [13.2 - 13.8]
# rad_logpkpc N_total N_total_err0 N_total_err1 N_self N_self_err0 N_self_err1 N_other N_other_err0 N_other_err1
  0.9240  17.1906  16.9474  17.5245 17.1906  16.9474  17.5245  2.7763   0.8602  11.6350
  0.9594  17.1053  16.8481  17.4985 17.1053  16.8481  17.4985  2.5740   0.8213  11.6012
  0.9947  17.0112  16.7518  17.4964 17.0112  16.7518  17.4964  2.0807   0.9406  11.4940
  1.0301  16.8882  16.6673  17.5071 16.8881  16.6673  17.5071  2.4201   1.1575  11.5712
  1.0654  16.7434  16.5804  17.4641 16.7433  16.5804  17.4641  2.7879   1.5428  11.3759
  1.1008  16.6152  16.4103  17.3635 16.6152  16.4103  17.3635  2.8909   1.6057  11.3923
  1.1361  16.5418  16.1619  17.2418 16.5418  16.1620  17.2418  3.1043   1.3507  11.4553
  1.1715  16.4801  15.9082  17.1284 16.4801  15.9081  17.1284  3.4541   1.3235  11.5948
  1.2068  16.4325  15.7892  17.0736 16.4325  15.7888  17.0736  3.7783   1.4537  11.5900
  1.2422  16.3565  15.7248  17.0672 16.3565  15.7246  17.0672  3.7884   1.8364  11.4756
  1.2775  16.2933  15.7000  17.0465 16.2933  15.6970  17.0465  3.8127   2.3742  11.4181
  1.3129  16.2285  15.7177  16.9806 16.2285  15.7137  16.9806  4.2655   2.8289  11.3596
  1.3482  16.2382  15.6910  16.9205 16.2382  15.6876  16.9205  4.7370   2.7304  11.6513
  1.3836  16.2407  15.5664  16.9011 16.2407  15.5655  16.9011  4.8944   3.0248  11.9180
  1.4189  16.2376  15.3813  16.8595 16.2376  15.3824  16.8595  4.7055   2.8535  11.7322
  1.4543  16.1971  15.2951  16.8208 16.1971  15.2804  16.8208  4.5197   2.4600  11.1659
  1.4897  16.2110  15.2656  16.6925 16.2110  15.2439  16.6925  5.5191   1.9389  11.3637
  1.5250  16.1481  15.2755  16.5725 16.1481  15.2597  16.5725  6.0307   2.1989  11.7686
  1.5604  16.0666  15.2143  16.4151 16.0666  15.2157  16.4151  5.6481   2.5768  11.6140
  1.5957  15.9480  15.1776  16.2521 15.9480  15.1780  16.2521  5.0458   3.0217  10.9658
  1.6311  15.8507  15.1485  16.0900 15.8507  15.1484  16.0900  5.7972   2.9443  10.9724
  1.6664  15.6405  15.1491  16.0012 15.6405  15.1491  16.0012  6.7405   3.9171  11.2127
  1.7018  15.5365  15.0588  15.9535 15.5365  15.0588  15.9535  6.9573   4.8266  11.1566
  1.7371  15.4648  14.9769  15.8533 15.4648  14.9768  15.8533  8.3500   7.0816  10.9712
  1.7725  15.3531  14.9407  15.8171 15.3530  14.9407  15.8171  9.4540   6.0471  11.1564
  1.8078  15.1962  14.9549  15.7728 15.1961  14.9562  15.7728 10.4422   6.1785  11.2770
  1.8432  15.1359  14.9172  15.7093 15.1360  14.9118  15.7093 10.2681   6.8192  11.4530
  1.8785  15.1515  14.8467  15.5820 15.1504  14.8391  15.5820 11.1752   9.5106  11.9228
  1.9139  15.0913  14.7172  15.5556 15.0923  14.7084  15.5556 11.2034   8.0941  12.5476
  1.9493  15.0271  14.5224  15.4915 15.0172  14.5187  15.4914 10.8564   5.7189  12.6246
  1.9846  14.9688  14.4165  15.4789 14.9564  14.4129  15.4789 10.1185   4.0508  12.1900
  2.0200  15.0717  14.3317  15.5735 15.0618  14.3317  15.5735  9.6003   5.0121  11.9079
  2.0553  15.1525  14.2890  15.6592 15.1537  14.2893  15.6592  8.5338   6.2501  11.9784
  2.0907  15.1657  14.2223  15.4547 15.1648  14.2216  15.4547  8.9456   6.9446  11.9566
  2.1260  15.0277  14.3280  15.3790 15.0278  14.3271  15.3789 10.2370   7.7397  11.9117
  2.1614  14.8538  14.3173  15.2793 14.8535  14.3115  15.2792 11.3881   7.0020  12.0423
  2.1967  14.6648  14.2973  15.3383 14.6637  14.2838  15.3382 11.1285   7.3706  12.5462
  2.2321  14.5678  14.1909  15.1726 14.5658  14.1783  15.1727 11.3155   7.7478  12.5600
  2.2674  14.5296  14.0695  15.0806 14.5281  14.0642  15.0804 11.5637  10.1006  12.3667
  2.3028  14.5567  13.9070  15.0329 14.5537  13.9072  15.0326 11.9692  10.3257  12.1933
  2.3381  14.4453  13.8929  15.0663 14.4423  13.8928  15.0657 11.9455  10.8899  12.4123
  2.3735  14.4444  13.7793  14.9352 14.4420  13.7747  14.9339 12.0958  10.8436  12.4742
  2.4088  14.4590  13.6896  14.6930 14.4591  13.6809  14.6913 11.9587  11.1308  12.3777
  2.4442  14.2596  13.6048  14.9459 14.2577  13.5821  14.9457 11.9261  11.3284  12.5536
  2.4796  14.0868  13.7041  15.0996 14.0846  13.6950  15.0960 11.8783  11.4039  12.7776
  2.5149  14.0214  13.5994  14.7317 14.0155  13.5548  14.7606 12.0874  11.6372  12.9126
  2.5503  14.1231  13.5633  14.4564 14.1200  13.3945  14.3249 12.4086  11.9238  13.0329
  2.5856  13.9341  13.3869  14.4129 13.9380  13.1879  14.1704 12.5879  11.9975  13.2443
  2.6210  13.7919  13.2006  14.3620 13.6696  13.0156  14.0516 12.5890  11.8899  13.2269
  2.6563  13.5317  12.9627  13.9458 13.3605  12.8053  13.7968 12.3116  11.8169  13.0940
  2.6917  13.5553  12.9689  14.0949 13.4358  12.7363  13.9433 12.2633  11.9744  13.3685
  2.7270  13.4442  12.8168  14.4216 13.4655  12.5429  14.3383 12.3138  12.0249  13.4682
  2.7624  13.5891  13.0035  14.5775 13.5264  11.9231  14.5775 12.7734  12.1003  13.5432
  2.7977  13.5248  12.7764  14.4342 12.9376  11.3725  14.2466 12.9814  12.1120  13.5098
  2.8331  13.7106  12.6332  14.2589 12.3298  11.2933  13.4555 13.2563  12.2781  13.9369
  2.8684  13.5317  12.3727  14.2989 12.1279  10.6375  13.3315 13.1234  12.2485  13.9968
  2.9038  13.4995  12.5190  14.1950 12.8875   7.2801  13.5079 13.0166  12.0909  14.0259
  2.9392  13.2070  12.4531  14.0211 13.0149   4.7823  13.6720 12.7342  11.9511  13.7006
  2.9745  13.2085  12.9015  13.6970 11.2705  10.3692  13.2175 13.1629  12.8810  13.4412
